Sr.No,Stock,Sector,Shares Held or Principal Amt,Market Value,% of Portfolio,Previous % of Portfolio,Ranked,Change in Shares,% Change,% Ownership,Qtr 1st Owned,Estimated Avg Price Paid,Quarter End Price,Recent Price,Source,Source Date,Date Reported
27,AVGO,INFORMATION TECHNOLOGY,28569124,17989404000,0.48,0.46,27,"1,180,078",0.04,0.0707,Q3 2009,253.8,629.68,498.54,13F,2022-04-27,2022-06-08
28,TMO,HEALTH CARE,30297974,17895500000,0.47,0.53,28,"684,637",-0.02,0.0774,Q3 2007,218.16,590.65,553.76,13F,2022-04-28,2022-06-09
29,PEP,CONSUMER STAPLES,104077985,17420573000,0.46,0.47,29,"1,423,774",-0.01,0.0753,Q3 2007,115.64,167.38,170.36,13F,2022-04-29,2022-06-10
30,KO,CONSUMER STAPLES,279114132,17305077000,0.46,0.42,30,"627,814",,0.0644,Q3 2007,43.99,62,62.91,13F,2022-04-30,2022-06-11
31,ADBE,INFORMATION TECHNOLOGY,37493214,17082659000,0.45,0.54,31,"33,357",,0.0794,Q3 2007,190.69,455.62,390.89,13F,2022-05-01,2022-06-12
32,INTC,INFORMATION TECHNOLOGY,341450251,16922274000,0.45,0.43,32,"10,103,061",0.03,0.0835,Q3 2007,39.39,49.56,38.14,13F,2022-05-02,2022-06-13
33,MRK,HEALTH CARE,204122526,16748252000,0.44,0.39,33,"5,898,263",0.02,0.0807,Q3 2007,65.78,82.05,93.01,13F,2022-05-03,2022-06-14
34,DIS,COMMUNICATIONS,117304093,16089429000,0.42,0.46,34,"517,040",,0.0644,Q3 2007,114.26,137.16,97.43,13F,2022-05-04,2022-06-15
35,ACN,INFORMATION TECHNOLOGY,47216394,15922783000,0.42,0.49,35,"1,001,022",0.02,0.0711,Q3 2007,143.88,337.23,279.4,13F,2022-05-05,2022-06-16
36,IXUS,FINANCE,238910598,15906667000,0.42,0.44,36,"2,242,334",,,Q2 2015,58.04,66.58,56.88,13F,2022-05-06,2022-06-17
37,ABT,HEALTH CARE,132854732,15724690000,0.42,0.49,37,"4,300,870",-0.03,0.0759,Q3 2007,54.66,118.36,109.49,13F,2022-05-07,2022-06-18
38,VZ,UTILITIES AND TELECOMMUNICATIONS,304700845,15521461000,0.41,0.38,38,"13,959,954",0.04,0.0726,Q3 2007,50.06,50.94,50.71,13F,2022-05-08,2022-06-19
39,CMCSA,COMMUNICATIONS,319288132,14949068000,0.39,0.4,39,"6,902,524",0.02,0.0714,Q3 2007,37.72,46.82,39.94,13F,2022-05-09,2022-06-20
40,CRM,INFORMATION TECHNOLOGY,68577531,14560380000,0.38,0.43,40,"2,027,058",0.03,0.0689,Q3 2007,124.74,212.32,176.64,13F,2022-05-10,2022-06-21
41,TXN,INFORMATION TECHNOLOGY,75269448,13810434000,0.36,0.35,41,"1,484,246",0.02,0.0816,Q3 2007,91.18,183.48,154.69,13F,2022-05-11,2022-06-22
42,WMT,CONSUMER STAPLES,92319285,13748190000,0.36,0.34,42,"173,320",,0.0337,Q3 2007,78.65,148.92,125.32,13F,2022-05-12,2022-06-23
43,WFC,FINANCE,275549536,13353131000,0.35,0.34,43,"5,543,537",-0.01,0.0727,Q3 2007,52.18,48.46,40.12,13F,2022-05-13,2022-06-24
44,DHR,HEALTH CARE,45427110,13325135000,0.35,0.37,44,"1,237,965",0.02,0.0625,Q4 2019,165.77,293.33,263.45,13F,2022-05-14,2022-06-25
45,AMD,INFORMATION TECHNOLOGY,119569366,13073716000,0.35,0.33,45,"30,732,205",0.34,0.0738,Q4 2008,49.17,109.34,79.3,13F,2022-05-15,2022-06-26
46,QCOM,INFORMATION TECHNOLOGY,82022847,12534730000,0.33,0.38,46,"643,310",,0.0729,Q3 2007,70.58,152.82,134.4,13F,2022-05-16,2022-06-27
47,INTU,INFORMATION TECHNOLOGY,26048746,12525279000,0.33,0.41,47,"919,626",0.03,0.0923,Q4 2007,210.82,480.84,410.84,13F,2022-05-17,2022-06-28
48,NEE,UTILITIES AND TELECOMMUNICATIONS,147832499,12522893000,0.33,0.37,48,"7,496,285",-0.04,0.0753,Q3 2007,67.34,84.71,80.38,13F,2022-05-18,2022-06-29
49,MCD,CONSUMER DISCRETIONARY,50402155,12463445000,0.33,0.36,49,"2,516,600",-0.04,0.0682,Q3 2007,142.73,247.28,252.94,13F,2022-05-19,2022-06-30
50,T,UTILITIES AND TELECOMMUNICATIONS,690397816.7,12321826000,0.33,0.32,50,"7,650,020",0.01,0.0728,Q3 2007,37.88,0.01,21.15,13F,2022-05-20,2022-07-01
51,COST,CONSUMER STAPLES,31340294,18047310000,0.48,0.45,26,"261,972",,0.0708,Q3 2007,208.19,575.85,494.95,13F,2022-05-21,2022-07-02
52,BMY,HEALTH CARE,167240428,12213568000,0.32,0.27,51,"1,986,279",-0.01,0.0786,Q3 2007,57.03,73.03,75.14,13F,2022-05-22,2022-07-03
53,NKE,CONSUMER DISCRETIONARY,90518050,12180110000,0.32,0.38,52,"553,087",,0.0713,Q3 2007,62.96,134.56,108.13,13F,2022-05-23,2022-07-04
54,AMGN,HEALTH CARE,50028170,12097811000,0.32,0.29,53,"18,175",,0.0937,Q3 2007,170.94,241.82,247.42,13F,2022-05-24,2022-07-05
55,UNP,TRANSPORTS,44012870,12024758000,0.32,0.29,54,"1,809,331",-0.03,0.0701,Q3 2007,120.92,273.21,212.63,13F,2022-05-25,2022-07-06
56,MDT,HEALTH CARE,107991652,11981674000,0.32,0.28,55,"88,290",,0.0805,Q3 2007,84.03,110.95,89.5,13F,2022-05-26,2022-07-07
57,PLD,REAL ESTATE,73174710,11816250000,0.31,0.33,56,"3,869,452",-0.05,0.0988,Q4 2008,67.41,161.48,122.57,13F,2022-05-27,2022-07-08
58,UPS,TRANSPORTS,53873217,11553650000,0.31,0.28,57,"1,781,756",0.03,0.0734,Q3 2007,121.77,214.46,186.19,13F,2022-05-28,2022-07-09
59,SPGI,COMMUNICATIONS,27047127,11094191000,0.29,0.23,58,"8,234,255",0.43,0.0796,Q4 2008,247.92,410.18,351.83,13F,2022-05-29,2022-07-10
60,COP,ENERGY,107537783,10753779000,0.28,0.2,59,"3,536,062",-0.03,0.0831,Q3 2007,50.77,100,86.35,13F,2022-05-30,2022-07-11
61,ELV,HEALTH CARE,21505858,10564106000,0.28,0.25,60,"31,405",,0.0892,Q3 2007,174.53,491.22,478.83,13F,2022-05-31,2022-07-12
62,NFLX,COMMUNICATIONS,27947337,10468794000,0.28,0.45,61,"1,276,543",-0.04,0.0633,Q2 2009,212.76,374.59,189.27,13F,2022-06-01,2022-07-13
63,AZN,HEALTH CARE,157391316,10398844248,0.27,0.01,62,"149,924,824",20.07,0.0508,-,,,66.92,13G,2022-06-02,2022-07-14
64,ORCL,INFORMATION TECHNOLOGY,119421495,9879741000,0.26,0.26,63,"174,243",,0.0448,Q3 2007,45.35,82.73,71.83,13F,2022-06-03,2022-07-15
65,RTX,INDUSTRIALS,98391208,9747615000,0.26,0.22,64,"162,428",,0.0662,Q3 2007,67.06,99.07,93.94,13F,2022-06-04,2022-07-16
66,AMAT,INFORMATION TECHNOLOGY,71465562,9419164000,0.25,0.29,65,"379,210",,0.0821,Q4 2008,45.37,131.8,90.75,13F,2022-06-05,2022-07-17
67,CVS,CONSUMER STAPLES,92966610,9409150000,0.25,0.25,66,"589,891",,0.0709,Q3 2007,73.46,101.21,93.73,13F,2022-06-06,2022-07-18
68,LOW,CONSUMER DISCRETIONARY,45259386,9150994000,0.24,0.31,67,"1,447,001",-0.03,0.0708,Q3 2008,82.97,202.19,181.57,13F,2022-06-07,2022-07-19
69,PM,CONSUMER STAPLES,96511777,9066315000,0.24,0.23,68,"2,402,309",0.02,0.0623,Q2 2008,106.5,93.94,94.99,13F,2022-06-08,2022-07-20
70,PYPL,COMMUNICATIONS,78254181,9050097000,0.24,0.36,69,"2,266,699",0.02,0.0676,Q3 2015,64.62,115.65,75.04,13F,2022-06-09,2022-07-21
71,SCHW,FINANCE,107183424,9036635000,0.24,0.23,70,"1,780,539",0.01,0.059,Q4 2007,44.94,84.31,64.24,13F,2022-06-10,2022-07-22
72,NOW,INFORMATION TECHNOLOGY,16092858,8961950000,0.24,0.27,71,"97,842",,0.0803,Q3 2012,191.3,556.89,497.05,13F,2022-06-11,2022-07-23
73,C,FINANCE,164865664,8803824000,0.23,0.25,72,"4,702,380",0.02,0.0832,Q3 2007,77.59,53.4,46.93,13F,2022-06-12,2022-07-24
74,AMT,UTILITIES AND TELECOMMUNICATIONS,35039848,8802710000,0.23,0.27,73,"1,596,864",-0.04,0.0768,Q3 2007,151.04,251.22,257.18,13F,2022-06-13,2022-07-25
75,MS,FINANCE,99877472,8729291000,0.23,0.27,74,"6,917,473",-0.06,0.0571,Q3 2007,49.68,87.4,76.99,13F,2022-06-14,2022-07-26
76,IBM,INFORMATION TECHNOLOGY,66591742,8658261000,0.23,0.22,75,"1,139,368",0.01,0.074,Q3 2007,164.38,130.02,140.83,13F,2022-06-15,2022-07-27
77,BMY,HEALTH CARE,167240428,12213568000,0.32,0.27,51,"1,986,279",-0.01,0.0786,Q3 2007,57.03,73.03,75.14,13F,2022-06-16,2022-07-28
78,CAT,INDUSTRIALS,37494751,8354582000,0.22,0.19,76,"992,608",0.02,0.0703,Q3 2007,110.05,222.82,180.28,13F,2022-06-17,2022-07-29
79,AXP,FINANCE,44518166,8324896000,0.22,0.19,77,"1,384,538",-0.03,0.0591,Q3 2007,87.3,187,141.03,13F,2022-06-18,2022-07-30
80,TGT,CONSUMER DISCRETIONARY,38819141,8238197000,0.22,0.23,78,"644,102",-0.01,0.0837,Q4 2008,80.85,212.22,149.96,13F,2022-06-19,2022-07-31
81,LIN,MATERIALS,25679214,8202713000,0.22,0.21,79,"1,368,221",0.05,0.0511,Q4 2007,155.53,319.43,273.88,13F,2022-06-20,2022-08-01
82,HON,INDUSTRIALS,42068861,8185760000,0.22,0.22,80,"883,708",0.02,0.0618,Q3 2007,132.58,194.58,173.79,13F,2022-06-21,2022-08-02
83,ISRG,HEALTH CARE,26660811,8043033000,0.21,0.24,81,"122,151",,0.0743,Q1 2009,136.45,301.68,208.71,13F,2022-06-22,2022-08-03
84,ZTS,HEALTH CARE,41766559,7876755000,0.21,0.25,82,"1,450,749",0.03,0.0887,Q1 2013,82.27,188.59,179.1,13F,2022-06-23,2022-08-04
85,LMT,INDUSTRIALS,17800565,7857169000,0.21,0.16,83,"239,584",0.01,0.0669,Q3 2007,280.73,441.4,422.19,13F,2022-06-24,2022-08-05
86,BLK,FINANCE,10279628,7855383000,0.21,0.24,84,"138,542",0.01,0.0679,Q2 2009,446.34,764.17,623.7,13F,2022-06-25,2022-08-06
87,GILD,HEALTH CARE,126932703,7845710372,0.21,0.19,85,"5,223,338",0.04,0.1012,-,,,62.72,13G,2022-06-26,2022-08-07
88,GS,FINANCE,23560140,7777203000,0.21,0.23,86,"235,332",,0.0686,Q3 2007,242.44,330.1,298.6,13F,2022-06-27,2022-08-08
89,ADP,INFORMATION TECHNOLOGY,33637473,7653871000,0.2,0.2,87,"1,642,852",0.05,0.0805,Q4 2008,118.07,227.54,216.52,13F,2022-06-28,2022-08-09
90,DE,INDUSTRIALS,18243075,7579271000,0.2,0.15,88,"813,109",0.04,0.0597,Q3 2007,141.71,415.46,303.97,13F,2022-06-29,2022-08-10
91,NEM,MATERIALS,92339052,7336337000,0.19,0.14,89,"703,555",,0.1163,Q3 2007,36.43,79.45,59.87,13F,2022-06-30,2022-08-11
92,MMC,FINANCE,42015515,7160283000,0.19,0.19,90,"1,121,399",-0.02,0.0837,Q4 2007,83.69,170.42,156.49,13F,2022-07-01,2022-08-12
93,CI,FINANCE,29350591,7032694000,0.19,0.17,91,"236,684",,0.0925,Q3 2007,168.19,239.61,275.78,13F,2022-07-02,2022-08-13
94,PUK,FINANCE,278930313,7003940159,0.18,0,92,"276,512,455",114.36,0.2029,-,,,24.92,13G,2022-07-03,2022-08-14
95,SBUX,CONSUMER DISCRETIONARY,76603120,6968586000,0.18,0.25,93,"5,860,472",-0.07,0.0668,Q4 2008,63.3,90.97,79.24,13F,2022-07-04,2022-08-15
96,ADI,INFORMATION TECHNOLOGY,41336429,6827951000,0.18,0.19,94,"1,714,419",-0.03,0.0795,Q4 2007,113.19,165.18,148.57,13F,2022-07-05,2022-08-16
97,MU,INFORMATION TECHNOLOGY,87124926,6786162000,0.18,0.2,95,"2,687,574",0.03,0.078,Q3 2007,38.31,77.89,58.85,13F,2022-07-06,2022-08-17
98,EW,HEALTH CARE,57026422,6713150000,0.18,0.19,96,"14,561",,0.0917,Q2 2009,64.67,117.72,98.43,13F,2022-07-07,2022-08-18
99,REGN,HEALTH CARE,9584951,6694319000,0.18,0.15,97,"25,920",,0.0887,Q4 2009,474.56,698.42,607.45,13F,2022-07-08,2022-08-19
100,EQIX,INFORMATION TECHNOLOGY,8849901,6563263000,0.17,0.19,98,"78,955",,0.0972,Q2 2009,511.35,741.62,660.74,13F,2022-07-09,2022-08-20
101,PSA,REAL ESTATE,16712601,6522594000,0.17,0.16,99,"543,092",-0.03,0.0952,Q4 2008,220.6,390.28,314.79,13F,2022-07-10,2022-08-21
102,MMM,INDUSTRIALS,42996030,6401249000,0.17,0.19,100,"1,185,844",0.02,0.0756,Q3 2007,185.91,148.88,130.05,13F,2022-07-11,2022-08-22
103,BKNG,CONSUMER DISCRETIONARY,2675058,6282242000,0.17,0.16,101,"66,138",0.02,0.0659,Q3 2007,1782.91,2348.45,1785.92,13F,2022-07-12,2022-08-23
104,MO,CONSUMER STAPLES,119840218,6261650000,0.17,0.14,102,"2,098,737",0.01,0.0662,Q3 2007,66.05,52.25,41.81,13F,2022-07-13,2022-08-24
105,SYK,HEALTH CARE,23380795,6250856000,0.17,0.16,103,"479,954",-0.02,0.0618,Q3 2007,144.37,267.35,201.7,13F,2022-07-14,2022-08-25
106,GE,INDUSTRIALS,68258059,6245612000,0.16,0.16,104,"51,159",,0.062,Q3 2007,32.02,91.5,63,13F,2022-07-15,2022-08-26
107,VRTX,HEALTH CARE,23916254,6241425000,0.16,0.13,105,"28,677",,0.0935,Q2 2008,146.95,260.97,294.17,13F,2022-07-16,2022-08-27
108,LRCX,INFORMATION TECHNOLOGY,11285008,6066932000,0.16,0.2,106,"184,139",0.01,0.0814,Q3 2007,168.26,537.61,414.88,13F,2022-07-17,2022-08-28
109,BA,INDUSTRIALS,31674287,6065627000,0.16,0.16,107,"887,382",0.02,0.0535,Q3 2007,190.56,191.5,139.97,13F,2022-07-18,2022-08-29
110,CCI,UTILITIES AND TELECOMMUNICATIONS,32770835,6049496000,0.16,0.2,108,"4,240,042",-0.11,0.0757,Q1 2009,119.24,184.6,171.64,13F,2022-07-19,2022-08-30
111,MDLZ,CONSUMER STAPLES,95055488,5967581000,0.16,0.15,109,"7,536,591",0.08,0.0687,Q3 2007,45.01,62.78,62.37,13F,2022-07-20,2022-08-31
112,CB,FINANCE,27637747,5911714000,0.16,0.13,110,"565,220",0.02,0.0652,Q3 2007,137.64,213.9,194.62,13F,2022-07-21,2022-09-01
113,HUM,HEALTH CARE,12733518,5783945881,0.15,0.14,111,"981,626",0.08,0.1007,-,,,476.35,13G,2022-07-22,2022-09-02
114,CME,FINANCE,24243229,5766492000,0.15,0.14,112,"81,325",,0.0675,Q3 2007,134.18,237.86,208.78,13F,2022-07-23,2022-09-03
115,FIS,FINANCE,56825524,5706419000,0.15,0.15,113,"3,050,900",0.05,0.0935,Q4 2008,109.97,100.42,93.86,13F,2022-07-24,2022-09-04
116,DUK,UTILITIES AND TELECOMMUNICATIONS,50982694,5692727000,0.15,0.14,114,"2,429,726",-0.04,0.0662,Q3 2007,85.14,111.66,106.83,13F,2022-07-25,2022-09-05
117,PNC,FINANCE,30563752,5637484000,0.15,0.15,115,"589,293",0.01,0.0739,Q4 2008,128.09,184.45,162.31,13F,2022-07-26,2022-09-06
118,BSX,HEALTH CARE,126433288,5599731000,0.15,0.14,116,"1,041,775",,0.0884,Q4 2007,29.18,44.29,37.85,13F,2022-07-27,2022-09-07
119,EOG,ENERGY,46646390,5561649000,0.15,0.1,117,"528,077",0.01,0.0796,Q3 2007,88.11,119.23,105.07,13F,2022-07-28,2022-09-08
120,CDNS,INFORMATION TECHNOLOGY,33427221,5497441000,0.15,0.15,118,"1,906,590",0.06,0.1212,Q2 2009,57.75,164.46,160.19,13F,2022-07-29,2022-09-09
121,BDX,HEALTH CARE,21181773.63,5496926000,0.15,0.13,119,"30,272",,0.0725,Q3 2007,198.63,259.51,246.39,13F,2022-07-30,2022-09-10
122,CSX,TRANSPORTS,146774071,5496690000,0.15,0.15,120,"4,841,790",-0.03,0.0675,Q3 2007,35.58,37.45,29.24,13F,2022-07-31,2022-09-11
123,TFC,FINANCE,96437111,5467984000,0.14,0.14,121,"755,657",,0.0724,Q3 2007,50.05,56.7,48.01,13F,2022-08-01,2022-09-12
124,ICE,FINANCE,41154951,5437392000,0.14,0.16,122,"5,774,071",-0.12,0.0737,Q4 2008,77.79,132.12,96.68,13F,2022-08-02,2022-09-13
125,GM,CONSUMER DISCRETIONARY,121865221,5330386000,0.14,0.17,123,"6,425,607",0.05,0.0836,Q4 2010,37.18,43.74,32.66,13F,2022-08-03,2022-09-14
126,FCX,MATERIALS,106995979,5321977000,0.14,0.11,124,"222,415",,0.0738,Q3 2007,16.31,49.74,29.22,13F,2022-08-04,2022-09-15
127,TMUS,UTILITIES AND TELECOMMUNICATIONS,41175577,5284883000,0.14,0.12,125,"442,979",0.01,0.033,Q2 2013,86.04,128.35,136.33,13F,2022-08-05,2022-09-16
128,BKNG,CONSUMER DISCRETIONARY,2675058,6282242000,0.17,0.16,101,"66,138",0.02,0.0659,Q3 2007,1782.91,2348.45,1785.92,13F,2022-08-06,2022-09-17
129,MO,CONSUMER STAPLES,119840218,6261650000,0.17,0.14,102,"2,098,737",0.01,0.0662,Q3 2007,66.05,52.25,41.81,13F,2022-08-07,2022-09-18
130,PXD,ENERGY,20778522,5195255000,0.14,0.08,126,"2,883,373",0.16,0.0859,Q3 2007,163.86,250.03,216.67,13F,2022-08-08,2022-09-19
131,USB,FINANCE,97457184,5179851000,0.14,0.14,127,"1,840,496",0.01,0.0656,Q3 2007,50.96,53.15,46.76,13F,2022-08-09,2022-09-20
132,PGR,FINANCE,44454227,5067338000,0.13,0.12,128,"1,336,100",-0.02,0.076,Q4 2007,49.14,113.99,120.62,13F,2022-08-10,2022-09-21
133,MRVL,INFORMATION TECHNOLOGY,70469759,5053388000,0.13,0.16,129,"284,863",,0.0829,Q2 2009,31.06,71.71,46.6,13F,2022-08-11,2022-09-22
134,CL,CONSUMER STAPLES,66575004,5048384000,0.13,0.14,130,"1,356,519",0.02,0.0795,Q3 2007,72.46,75.83,79.46,13F,2022-08-12,2022-09-23
135,SO,UTILITIES AND TELECOMMUNICATIONS,69533043,5041842000,0.13,0.13,131,"4,356,018",-0.05,0.0654,Q3 2007,51.35,72.51,71.29,13F,2022-08-13,2022-09-24
136,EFA,FINANCE,73335569,5033753456,0.13,0.14,132,"4,262,489",0.06,,-,,,62.28,13G,2022-08-14,2022-09-25
137,IDXX,HEALTH CARE,9162031,5012179000,0.13,0.15,133,"171,445",0.01,0.1091,Q2 2009,248.36,547.06,382.52,13F,2022-08-15,2022-09-26
138,SRE,UTILITIES AND TELECOMMUNICATIONS,29741620,5000160000,0.13,0.1,134,"217,594",,0.0946,Q3 2008,117.83,168.12,147.68,13F,2022-08-16,2022-09-27
139,MRNA,HEALTH CARE,28671935,4939029000,0.13,0.18,135,"1,010,462",0.03,0.0721,Q4 2018,139.41,172.26,172.4,13F,2022-08-17,2022-09-28
140,MET,FINANCE,70186350,4932697000,0.13,0.11,136,"1,500,023",-0.02,0.0863,Q3 2007,44.38,70.28,63.03,13F,2022-08-18,2022-09-29
141,BX,FINANCE,38236401,4853728000,0.13,0.12,137,"1,750,719",0.04,0.0546,Q1 2018,77.59,126.94,97.36,13F,2022-08-19,2022-09-30
142,WM,INDUSTRIALS,30615210,4852507000,0.13,0.13,138,"673,451",0.02,0.0737,Q1 2008,79.76,158.5,153.56,13F,2022-08-20,2022-10-01
143,ATVI,INFORMATION TECHNOLOGY,60540901,4849935000,0.13,0.1,139,"840,362",-0.01,0.0774,Q3 2007,55.81,80.11,78.61,13F,2022-08-21,2022-10-02
144,AON,FINANCE,14259360,4643277000,0.12,0.11,140,"131,227",,0.0671,Q3 2007,126.72,325.63,274.3,13F,2022-08-22,2022-10-03
145,F,CONSUMER DISCRETIONARY,272690686,4611199000,0.12,0.14,141,"2,512,713",,0.0691,Q3 2007,10.99,16.91,11.65,13F,2022-08-23,2022-10-04
146,CHTR,COMMUNICATIONS,8443120,4605892000,0.12,0.14,142,"212,300",-0.02,0.0503,Q3 2010,332.52,545.52,465.4,13F,2022-08-24,2022-10-05
147,ITW,INDUSTRIALS,21940856,4594412000,0.12,0.14,143,"400,841",0.01,0.0704,Q4 2008,142.85,209.4,185.64,13F,2022-08-25,2022-10-06
148,NSC,TRANSPORTS,16092611,4589937000,0.12,0.13,144,"626,167",-0.03,0.0675,Q3 2007,131.32,285.22,228.75,13F,2022-08-26,2022-10-07
149,D,UTILITIES AND TELECOMMUNICATIONS,53851257,4575742000,0.12,0.11,145,"1,788,762",-0.03,0.0664,Q4 2008,76.91,84.97,79.82,13F,2022-08-27,2022-10-08
150,TJX,CONSUMER DISCRETIONARY,75277576,4560317000,0.12,0.15,146,"1,321,486",-0.01,0.0643,Q3 2007,44.15,60.58,59.49,13F,2022-08-28,2022-10-09
151,EL,CONSUMER STAPLES,16697243,4546997000,0.12,0.16,147,"256,015",-0.01,0.072,Q4 2008,146.24,272.32,259.34,13F,2022-08-29,2022-10-10
152,SLB,ENERGY,109621382,4528461000,0.12,0.09,148,"1,865,737",-0.01,0.0776,Q3 2007,57.22,41.31,34.38,13F,2022-08-30,2022-10-11
153,SNPS,INFORMATION TECHNOLOGY,13533731,4510386000,0.12,0.12,149,"417,496",0.03,0.0885,Q3 2007,105.6,333.27,319.43,13F,2022-08-31,2022-10-12
154,SPG,REAL ESTATE,34082714,4483922000,0.12,0.14,150,"956,880",-0.02,0.1037,Q3 2007,155.27,131.56,97.88,13F,2022-09-01,2022-10-13
155,PXD,ENERGY,20778522,5195255000,0.14,0.08,126,"2,883,373",0.16,0.0859,Q3 2007,163.86,250.03,216.67,13F,2022-09-02,2022-10-14
156,USB,FINANCE,97457184,5179851000,0.14,0.14,127,"1,840,496",0.01,0.0656,Q3 2007,50.96,53.15,46.76,13F,2022-09-03,2022-10-15
157,AIG,FINANCE,71191626,4468699000,0.12,0.11,151,"2,851,746",-0.03,0.0899,Q4 2008,56.85,62.77,51.79,13F,2022-09-04,2022-10-16
158,WELL,REAL ESTATE,46244127,4445910000,0.12,0.1,152,"1,407,009",-0.02,0.1019,Q4 2007,71.77,96.14,81.72,13F,2022-09-05,2022-10-17
